ChID CopyNo HVBundleID HVCableID SignalCableID SiPMNo FECID FECChID
1 364 42 28 611 1965 5 89
0 365 42 20 636 1964 5 90
1 365 42 20 636 1964 5 91
0 366 42 29 630 1941 5 92
1 366 42 29 630 1941 5 93
0 367 42 17 702 1942 5 94
1 367 42 17 702 1942 5 95
0 368 42 19 701 3542 5 96
1 368 42 19 701 3542 5 97
0 369 42 27 639 3541 5 98
1 369 42 27 639 3541 5 99
0 370 42 26 735 1966 5 100
1 370 42 26 735 1966 5 101
0 371 42 22 725 1945 5 102
1 371 42 22 725 1945 5 103
0 372 6 11 607 4604 5 104
1 372 6 11 607 4604 5 105
0 373 6 9 879 4606 5 106
1 373 6 9 879 4606 5 107
0 374 6 13 610 4610 5 108
1 374 6 13 610 4610 5 109
0 375 6 6 899 4609 5 110
1 375 6 6 899 4609 5 111
0 376 6 30 900 4591 5 112
1 376 6 30 900 4591 5 113
0 377 6 27 608 3256 5 114
1 377 6 27 608 3256 5 115
0 378 6 29 884 4593 5 116
1 378 6 29 884 4593 5 117
0 379 6 32 883 4268 5 118
1 379 6 32 883 4268 5 119
0 380 6 28 743 4285 5 120
1 380 6 28 743 4285 5 121
0 381 6 31 877 4266 5 122
1 381 6 31 877 4266 5 123
0 382 6 12 896 4269 5 124
1 382 6 12 896 4269 5 125
0 383 7 28 326 4270 5 126
1 383 7 28 326 4270 5 127
0 384 7 30 305 4265 6 0
1 384 7 30 305 4265 6 1
0 385 7 19 320 4264 6 2
1 385 7 19 320 4264 6 3
0 386 7 29 968 4263 6 4
1 386 7 29 968 4263 6 5
0 387 7 5 591 4261 6 6
1 387 7 5 591 4261 6 7
0 388 7 1 321 4262 6 8
1 388 7 1 321 4262 6 9
0 389 7 18 551 3546 6 10
1 389 7 18 551 3546 6 11
0 390 7 13 569 3544 6 12
1 390 7 13 569 3544 6 13
0 391 7 27 275 3545 6 14
1 391 7 27 275 3545 6 15
0 392 7 32 597 3543 6 16
1 392 7 32 597 3543 6 17
0 393 7 23 563 3548 6 18
1 393 7 23 563 3548 6 19
0 394 8 2 606 4758 6 20
1 394 8 2 606 4758 6 21
0 395 8 28 626 3547 6 22
1 395 8 28 626 3547 6 23
0 396 8 4 633 3550 6 24
1 396 8 4 633 3550 6 25
0 397 8 1 648 4595 6 26
1 397 8 1 648 4595 6 27
0 398 8 6 889 4598 6 28
1 398 8 6 889 4598 6 29
0 399 8 10 622 1943 6 30
1 399 8 10 622 1943 6 31
